"user_id","text"
1280,"It was a great experience. He carefully explained various issues with my resume and the need to correct them. I will make sure I follow his advice and improve them which would help me succeed. He even told me about his experience at Microsoft which was delightful.

Thank you for this opportunity."
902,"Ashutosh sir helped me with all of my queries.
He has good experience in data engineering and guided me for the interview process. Also discussed and guided about data structures in depth of how much and what to do.
I really loved his explanation and guidance. I felt like a big brother is guiding me. Looking forward to connect with Ashutosh and hope to stay connected for all my future queries and support."
669,"Aanshul is very sweet and kind, he guided me through out the session and cleared all my doubts, and his advices and suggestions are really helpful, thanks to the Topmate and Aanshul for this chance."
3600,"GREAT"
1204,"Shubham is creative with his idea, he tells me the clear idea behind freelancing. Lot of things have been cleared to me which I thought could be a hurdle to me. Great going Shubham. Good Luck Champ"
1487,"Hi Team,

It was nice talking to praveen.

Praveen guided me on which points you have to choose organization.

Apart from professional life he has started very great initiative to help people's and in today's date no one is doing that on free basis.

God bless you praveen and keep it up.

Thanks"
1328,"At first I was not sure how a person from such a big tech company ( Microsoft) is providing such a great help at this negligible price but anyhow I thought to give it a try. Now when I met her, I definitely want to say wow. She is amazing. She gone thoroughly with my resume and evaluated every detail. She suggested me some key points to maintain while creating resume and also tips for preparing tech interview. Those 30 mins were amazing for me to interact with this amazing person."
1408,"I had a great talk with Ayushi. It felt like I am talking to my senior and asking for advice. She had given valuable advise about my resume which I really appreciate. The work she is doing for the community is commendable. Looking forward for more such opportunity to connect with her."
4687,"As always, conversation with Chirag is helpful and enlightening. We talked about various and I gain some different perspectives on things I was struggling with. Thanks to Chirag"
1618,"Good"
1502,"I really liked have a conversation with Manohar Sir about my challenges. He even went to an extra mile and called people he know in matter to help me with really good advice. Thanks a lot to him."
669,"I loved the interaction with Aanshul and how he handled my questions. Happy with the help he provided.

Thanks and Regards,
Sagar Manjare
Senior Software Engineer
Signeasy"
1510,"Hi,
Great Experience. She reviewed each and every aspect of my resume and very well explained how to fix them and everything.
Thanks"
1510,"Priya Vajpeyi ma'am was very helpful and articulate.
She gave me keen insights on how I should improve my resume, which were very useful.
Thank you ma'am for your valuable feedback."
1510,"Ma'am is Amazing . She gave me the right direction and that resume review session was worth it."
1510,"the session was good and the mentor was positive in giving feedback."
1510,"It was nice talking to her. She really helped me out. Looking forward to see her in other sessions too.
Regards"
1510,"It was a great session. I got to learn many things and she also pointed mistakes in my resume which would be a great help to me."
1487,"The one to one  session worth joining and informative."
1510,"Thanks for the session and I have learned how to create a good resume
so that it will be shortlisted in organization

Regards"
1510,"Priya Ma'am is so awesome they point out genuine points in my resume and also suggested to me how can I make my resume more attractive. She is a very nice mentor 😄."
1659,"He was very helpful and exactly told me the same that I wanted to know. Guided me and gave me his strategies. He's kind and knowledgful."
1510,"The session was very fruitful for me i came to know about mistakes  in my  resume and i can now correct those mistakes and can make my resume more good . 
Thank you priya mam for this great session."
1510,"The session was very helpful.
Thanks. Regards."
1510,"The review from Priya for my resume was great."
1638,"The world is full of assumptions and I was living in it until yesterday. I had assumed that I had prepared the best resume but when I had a session with Komal, I came to know where my resume stands as compared to others. She was humble enough in giving wise suggestions and also she highlighted the points where there was a scope for improvement.
In addition, she also guided me about the strategies required to perform well in interviews.
I can't thank Komal enough but I can assure you I will surely follow each and every bit of guidance given by her.
It was worth attending the session at 4.15 pm (IST) and I strongly recommend Komal for such sessions.

Thank You Komal and TopMate team.
Regards"
1510,"It was a nice meeting with Priya. It was a helpful  and informative session.

Thank You."
1398,"It was a good informative session, never had this kind of mentorship before, hs advices it would really help me lot"
1510,"Thanks Priya,

It was a great session. 
Priya had already gone through my resume and without wasting any second during the call, 
she clearly suggested all the changes that were needed.
Thanks again :)"
1556,"Awesome experience"
15055,"Muskan was very helpful and understood my queries thoroughly."
1797,"Thank you for providing me valuable feedbacks."
1267,"Topmate didn't confirm your availability for today."
75,"It was great talking with you Ankit👍"
1556,"It was a great learning experience for me as it exposed my weaknesses and I would like to thank Anshul for the same."
1556,"That was great. Anshul sir explained what i have to improve. It was great experience"
1556,"Thanks a lot Anshul sir for the best interview tips. You are great.Thanks a alot"
1556,"it was a great pleasure to learn from you during the interview test, thankyou for being so humble and helping me in my development."
1556,"I enjoyed this session a lot. It is a good session with Anshul sir. Thank You."
1556,"this very nice conversation with the sir
he had cleared all the doubts ,
and give me a new path to ride"
1556,"It was really helped me to undesrstand where i'm lagging and how to improve it"
2421,"Great session. Very insightful. looking forward for more sessions like this."
2421,"Akarsh is a great mentor. He provides great insights and also lists down a step-by-step process required for achieving your goal."
1556,"Thank you so much for hosting this. 
Anshul gave a very brief idea about the whole interview experience and  he prepped me in all ways. Grateful for this. Thank a lot. 
Anshul Mock interviews highly recommended !! 
And subscribe to Tech&Target"
1556,"I booked this mock interview because to get a confidance.And it is my very great experience with anshul sir,They solve my all the doubts."
1556,"mock interview is very good this is helpfu for my capgemini"
1556,"This Interview Is Amazing ...
Thank You sir For Give Me Youe valuable time."
1487,"Thanks for sharing your experience. :)"
1556,"Thank You for your valuable time."
2131,"Thankyou  for your time and guidance sir."
1556,"it was very helpful."
1556,"It was a nice interview , and now I feel more confident after the interview ."
1556,"excellent sir,you help me a lot in this session"
1556,"it was amazing interacting with Anshul sir and it has boost my confidence for Capgemini interview"
1556,"its good and useful"
1556,"I think this is good platform because the hiring processes are getting virtual due to pandemic. I have cleared my doubts from Anshul Sir. Thank You Very Much."
1556,"First of all sorry for yesterday's review. It was a worthy interaction with you that would help me achieve success in the interview.Thanks for the precious guidance"
1556,"i was very great conversation and i will help me for confidence and reduce my hejitation"
1556,"thank you for the feedback . I will work on my weaknesses"
1556,"it's ok and good for today I have cleared my all the doubts from the sir"
1556,"it was good experience..i get to know where i have to work on."
1556,"Interview Experience is Good"
1556,"It was a great session. I built up my confidence and Anshul u really guided me very well !! thank you so much. very informative and very interactive the session was!1"
1556,"thank u so much  sir such have great session sir"
1556,"Great Experience With Anshul Bhiya And think this was great."
1556,"It was great experience to talk with you sir thank you conducting this session it will help me a lot."
1556,"First, Thank you for your time. i will work hard for tomorrow sir, thank you."
1556,"It was great not just related to the interview sir also guided me how can i develop my skills further and grow"
1556,"It was quite good interaction and gain some good amount of preperation techniques which can be done to succeed.

Thank you Anshul Bhaiya"
1556,"It was a great experience to find out in which areas I am lagging Anshul Sir Helped me by giving me some valuable suggestions. Thank you so much for this wonderful session sir. Now I am very confident to attend the Capgemini interview."
1556,"Few things I never knew about the structure of  resume, it was a great experience to know about many things about how resume should be."
1556,"it's was an such an great experiance a good platform to build up our confidence."
1556,"excellent"
1556,"it's Great."
1328,"Amritanjali is really very helpful. She pointed out all the details in my resume and helped me create a better resume."
1556,"The Interview was great for me. I get confidence and lots of experience from this  Thank you Anshul sir.."
2321,"This was such a great experience. This session took away most of my fear. I would definitely like to have this meet once again after my exam. All the information that I needed was given by sir. Thank you."
1556,"Nice conversation"
1556,"The meeting was absolutely good and also mr.Anshul sir is very cooperative and friendly."
1556,"thank you sir"
1556,"Thamk u so much sir"
1556,"The interview was really good! Tysm for giving your valuable time"
1556,"Suggestions given by anshul bhaiya are always helpful,
thank you very much !"
2100,"It was pleasure talking to him. He is an amazing guy! Always ready to help."
1556,"interview was superb, anshul sir ws so humble and he asked questions in a proper way and suggest me what to do for my better perfomance."
1556,"i have a great experience. it increase my confidence and points my mistakes and now I know where to improve myself."
1556,"Interview was too good"
1556,"Interview experience was good."
1556,"It was my first ever interview eperience. It was a good experience Anshul sir asked me a variety of technical questions and HR questions. I answered them accordingly. At the end of the mock interview, Anshul sir gaved me a feedback to increase my confidence level. He also gaved me a proper overview of the interview, like in what points i was good  and in what points i can improve. Thank you Anshul Sir for providing such opportunity."
1556,"I was a great experience for me to be interviewed by Anshul sir"
1556,"Having Good Experience and Really help full for to identify my weakness"
1556,"Thanks sir"
1556,"Great help! Thank you so much"
75,"It was very nice experience to talk, learn about your journey as entrepreneur and followed by some of silly questions which was kind of top of mind. Kudos to awesome platform that allows to share throught, learning in an easy way."
1556,"nice experience"
2223,"hello bhaiya plz rescheduled my mock interview"
1556,"helped me to understand the areas where changes are required and it was a good overall analysis thankyou. looking forward to improve and stay in touch for further guidance"
1556,"It was really so helpful to me. It has helped me to tailor my resume more towards the role and I learnt a lot of new tips for resume."
1556,"Nice to meet you bhaiya , 
thanks"
1556,"it was the great experience<3"
1556,"Great Experience.Very helpful advices were given for the resume."
1638,"The world is full of assumptions and I was living in it until yesterday. I had assumed that I had prepared the best resume but when I had a session with Komal, I came to know where my resume stands as compared to others. She was humble enough in giving wise suggestions and also she highlighted the points where there was a scope for improvement.
In addition, she also guided me about the strategies required to perform well in interviews.
I can't thank Komal enough but I can assure you I will surely follow each and every bit of guidance given by her.
It was worth attending the session at 4.15 pm (IST) and I strongly recommend Komal for such sessions.
Thank You Komal and TopMate team."
1556,"Nice talking to you. Next time pakka acha hoga"
2830,"Thanku mam for tips me for upcoming my interview"
1638,"Firstly Thanks to Komal Didi,
Who out of his busy schedule takes out time , very less people do in society helping students to improve them and guiding them.I hope she should  continue with this act of kindness and we would always motivate you to continue the same."
1638,"The session was very helpful, and I received guidance regarding improving my resume and preparing for interviews. It is definitely worth it."
1638,"The session was helpful and worth my time."
1556,"It was a great experience talking with him and he solved my doubts clearly and calmly"
1556,"Good experience and all my doubts were solved.
Thank You"
213,"Presenter didnt attended"
1556,"It was a great experience talking to u sir, I'll definitely work on my errors.
Thankyou"
1556,"It was a nice meeting."
1556,"I was very Happy with Interview and got my mistakes"
1556,"thankyou very much sir, i had a very a good experience."
1556,"very good experience anshul bhaiiya , thank you very much ....your channle and your work is very helpfull..once agian thank you"
1556,"one of the best platform for the placements"
1556,"very good experience to talk with anshul bhai"
1556,"My Interview went well.I did one mistake and he made me understood that
very well.
Best wishes for you from my side.
Thank you."
240,"Thank you for your insights!"
1556,"it was good"
1556,"Good!"
1618,"I'm glad to share my Interviewexperience with pratik sir. I learn a lot
from him today and he corrected all my mistakes and gave me very good
suggestion how to crack my upcoming interview.this interview preparation
will definitely help me a lot.
Once again,
Thankyou Pratik sir for your precious time"
20502,"exellent"
1556,"It was a very nice experience with Anshul Sir, he guided me throughout the interview and also guide me to prepare well for the interview."
2517,"Feedback and suggestions given by Sourabh were insightful and helped gain much clarity over my career path.
Loved his spirit of giving back to the community, was fun interacting with him :)"
85,"Thanks Gaurav for your time and precious notes. I know I would have come across as an unsure being in all the specs we discussed, but I am figuring out and your 2 cents will certainly help me there. It was a good saturday chilling afternoon unwinding chat with you. Your thoughts on side hustle, writing and leveraging social media further were very realistic. I actually was interested to know more about your life's journey which you did mention in brief. Please keep me posted on any webinars etc which you might have or just drop a note sometime. I will surely update you soon with my developments. Thanks & Regards - Anshika"
1263,"Hi Team,

It was very helpful and worthy session with Shreya. She cleared all my
doubts and guided me towards my goal.
She is so polite and friendly.

Thanks for the session.

Aniket Navghare"
1556,"Good interaction
was nervous a little bit
but got to learn so many things"
1556,"it was good."
2224,"Thanks for connecting and advice."
1378,"Really informative session by solving many doubt and for providing good
suggestions
Thank you"
1556,"Anshul sir guided me how to modify my Resume. It was very helpful for my future. It was very wonderful talking to him. Thank you Anshul sir"
2321,"Thank you ! I really appreciate that , you helped me out a lot."
1556,"good"
1408,"Hello,

I had a great conversation with Ayushi where she listened to my doubts and
gave proper inputs what should I do from here on how to solve the problems
in DSA.

It's really great interaction with Ayushi.

I once again want to thank you Ayushi for spending your time and giving
proper feedback.


Thanks and Regards,
Gopinath Vempati
+(91) (8885449451)"
1556,"My experience with Anshul Bhaiyaa was very good. he explained me my flaws. He told my key areas to improve. It was a good experience."
1556,"Nice experience bhaiya thanks suggest all of Idea for coding ..💯"
1556,"It was really good. Thanks for the mock interview."
2421,"Hello Team,

I had more than 30mins interaction with Akarsh . He guided me thoroughly
and helped me understanding the roles and responsibilities of a program
manager in Microsoft. Apart from that, he guided me to prepare for the
interview.
I really learned a lot from his suggestions. I enjoyed the meeting very
much and look forward to meet him again.

Thank you Akarsh.

Thanks & Regards
Avra Chakraborty"
1556,"My experience with Anshul Bhaiya was very good. He told me all my key areas
of improvement. I would recommend everyone to appear for mock interview
with Anshul Bhaiya. Great experience!
Thank you."
13432,"A person with lot of knowledge and experience in Data Analytics. Session was super fruitful. Gained a lot of confidence. Thanks a lot for the awesome roadmap and resume insights."
240,"Thank you so much Gaurav for giving me insights on my CV and guiding me about how to proceed with my career transition into consulting."
1280,"Thanks a lot for helping with resume review and mentoring session. I'll surely use your feedback to improve my resume."
1263,"I would like to say thank you Shreya for your precious time and valuable
advice. It was a great talk about the software development career path. You
cleared all my doubts and gave worthy suggestions."
1263,"Shreya has given me the good advices related to start preparing for good product based company with very logical and approachable way. She is having very good amount of knowledge about the industry  as well."
2421,"It was a great time discussing with Akarsh regarding the PM role and the
opportunities. It helped me get insights from inside the industry and
qualities required in a PM. The session also gave me an opportunity to look
into how PM roles function in the organisation. Thank you for arranging the
session and for being so helpful."
2520,"Due to technical difficulties, video call didn't happened. Request you to reschedule it."
1618,"Pratik sir helped me with interview preperation. Iam indebted to him for getting my OL from infosys in my very first IT interview."
3376,"Awesome"
902,"It was one of the Good discussion with Ashutosh, where we started with the Current roles and He gave me inputs on areas to major look over and then we role over to PBC and the current market interview trends . We extended the discussion about generic topics . Nice to have mentors like Ashutosh in topmate."
1556,"good"
1556,"It was a good experience as well as really helpful session."
1510,"Hi ,
      It was a good session and I cam to know somethings which I was
lacking in my Resume.


Thanks and Regards
Rahul"
1638,"The session was great, I found it very helpful in clearing my doubts how to
construct a resume & Komal Ma'am give some good suggestions how I can
improve it. She also guide me how to structure a resume & what relevant
things need to be put in resume to have a better chance of shortlisting
from recruiter. A special thanks to topmate for coming up with such an
initiative & providing such wonderful sessions."
1378,"It was very engaging session. All doubts cleared. Thanks"
1556,"good interaction!"
902,"Ashutosh Sir has been an excellent mentor and a great inspiration to me. 
My main goal was to get guidance and learn from another experienced Data Engineer. His kindness, willingness to share his own experiences and wisdom makes him special. Beyond that, he patiently explained to me how to improve as a Data Engineer and mainly gave me the motivation to achieve my goals.
I'm very glad to have him as my mentor."
902,"Hi ,

Thanks for helping me out with this session on Bigdata and interview tips
its always helpful to get the inputs from such experienced guy like
Ashutosh who has good exposure.

It was really productive session with all my questions answered also
building up a good mentor relationship with him and looking forward to have
such more sessions in future.


Thanks
Ankit"
2520,"I had a very insightful session with Abhinav. As a fresher, I had many
doubts and questions, and he answered each one of them very clearly and
patiently. Really thankful to him for helping and guiding me. This session
was very engaging, informative, constructive and just what I needed at this
stage in my career."
902,"I had the opportunity of connecting with Ashutosh previously on this platform and I pleased to say that I have grown quite a lot professionally after that interaction. Not only was he patient but he heard me with an open mind and gave me suggestions which helped me succeed in my endeavours ever since. I remember I was quite late to the call, only a few minutes were left but he extended just because I had joined. I look upto him as a mentor and would like to keep growing and learning like this.

Please convey my regards to him. I would also like to thank Topmate.io for providing a platform for people to grow and for people to help others to grow. Thank you. :)

With Regards,
Soumyadeep Mukhopadhyay."
75,"Meeting Ankit today was really great. I got to know him & about his passion
& vision for topmate. It was really great to see him taking the feedback
positively.
He is building something useful for people & I am sure he will succeed.
Thanks for your time Ankit, It was nice meeting you :) All the best !!"
1556,"Its very good interaction where i got opportunity to improve my self thank you sir...."
1510,"Hello

I thoroughly enjoyed Priya's session, she was quick to point me in the
right direction and doing this for free is a great idea to help others.

Thanks
Vinotha"
1370,"Get up 😁"
1556,"that was great experience"
1556,"It was really interactive, he explained everything in detail"
1378,"It was a really very nice conversation. I am very thankful for your
valuable time & suggestions. Indeed helpful."
1378,"Loved the session!

Great enthusiasm!!

She's an inspiration 💯"
1378,"Such a great motivator she is🙏
So huge efforts she has made and it's really great the she is doing👍"
1378,"Awesome session ☺️ She's a great Mentor 👌🏻"
1378,"Really appreciate her work and her roadmap which she shared!"
2520,"Greetings of the day
I had a call with Abhinav regarding my career choice and Abhinav has been a
tremendous help in choosing the right path for me, he's very motivating and
to the point. I am so glad I booked this session and I look forward for
many more.
Thanks and Regards
Aftab Hakki"
1378,"the session was really amazing , and interactive , the mentor explained
every thing about resume and the whole roadmap that how one can build their
resume ,
she took  my queries and answered it in  very manner
overall the mentor was amazing 5🌟 to her from my side"
1556,"Best interview and solved all my query related to that."
1510,"I enjoyed the session. It was quick and to the point. I was not sure
whether my resume was on parr to the current standards. Priya verified that
my resume was ATS compliant and helped me clear my doubts."
1556,"It was a great experience and your advice will surely help me in the final interview."
1556,"It was excellent and i really learned a lot of things during the interview. thankyou for all suggestions sir."
1556,"Amazing person <3"
902,"Ashutosh sir has a very sound experience in Data Engineering. He properly guides about the Data Engineering path.
Apart from being A good mentor, he is a very kind and humble person."
902,"I had a wonderful session with Ashutosh on topmate.io. It really helped me a lot to know about Data engineering work across companies. Also got to know about the different skillset required for Data Engineering in top tech companies.

I would like to say thanks for helping me out and clearing my queries on data engineering.

Thanks and regards"
1378,"The Session was great! Kunika resolved all my queries and we had a healthy discussion around things in Tech. She is a great Mentor."
1378,"the session was very good , the mentor was very friendly and she explained the whole roadmap for internship very well , she also shared many internship opportunities also 
overall the session was very fruitful,
huge appreciation to the mentor Miss. Kunika Malhotra for such a wonderful mentorship"
1556,"Thank you so much for this interview..and all the advice you gave me:)"
1556,"This is a very good experience sir explain all the things in very effective way"
1556,"Best experience"
1556,"good"
1556,"The interview was very good and i was able to build my self some confidence to attend next interview hopefully getting a better result thank you Mr.Anshul bansal for giving me this opportunity"
1378,"It was a great session. She explained all the things very well and resolved
all the queries.
Thanks for the session.💫"
1556,"It was a really great experince with Anshul Sir! Thanks for supporting and also for this great mock interview."
902,"Ashutosh helped me with all of my queries regarding data engineering roadmap, career opportunities in DE. He cleared all my doubts and guided me very well."
13378,"got 100% clarity on all of my questions. Durgesh is damn good mentor."
1378,"Greetings,

I am feeling very lucky to have a great session with great mentor. Such a
down to earth person who is always willing to help the others in one way or
another. It felt like 30 minutes of interaction is such a small fraction of
time with the mentor having diverse knowledge and experience about
technology. I am getting very positive vibes after having such an amazing
interaction. I am feeling like in near future I will also be successful in
my career after following the advices by mentor Ma'am. I also thank to
topmate.io for creating such platform for the students and making them
believe in getting good placements through such amazing mentors. Last but
not least I am thankful to both my mentor Kunika Mam and topmate.io for
this wonderful session.

Thanks and regards,
Jaskaran Singh"
2520,"Due to technical difficulties the call wasn’t connected. Waiting to hear
back from topmate to schedule the call again. Looking forward to meet
Abhinav over video call."
1556,"I'm very happy that I got my doubts solved in the slot that I have booked.
Anshul bhaiya,thank you so much for the concern and support.Tech and target is the best place and its really helpful  especially for the non-cs students in preparing for placements."
1556,"Thankyou Anshul Baiya For clearing my doubt it was nice meeting you have a good day"
1556,"its vary good  and its very help full for me"
1556,"It was nice to talk with you."
1556,"Good experience"
1556,"It's was osm thank you anshul sir..."
1556,"good"
1556,"It is  the best platform for interview experience"
1556,"Gives very good experience for interview"
1556,"It""s a good experience  to interact you, it bulid me confidence on me to ..."
1556,"it was nice experince with u sir."
1328,"One of the best sessions I had. Got to learn a lot of important aspects of
an interview. Got to know where I am lagging and what are the areas I
should work on more.
Thank you so much Amritanjali for your guidance!"
902,"You  have not only a willingness but a keen desire to share all the important information.You possess empathy and understand what it was like to be just starting out in my career or field. This drives me to pay it forward, so to speak, through mentorship.

Thank you so much for all that you've done — I only hope I can return the favor sometime in the future. Thanks for being a good mentor and for guiding me on the right path. I will always be thankful to you. Not only have you been a fantastic mentor to me, but you have taught me how to mentor other people.

Thanks & Regards"
1378,"*Miss Kunika, supported me in learning how to set attainable goals* that I
could achieve. She helped, pushed me and guided me to be the best version
of myself."
1510,"The session was very helpful. She was very precise in her feedback and gave
actionable plans to modify my Resume. Would love to be a part again."
1510,"I had an amazing conversation with Priya."
2321,"Helpful for me to solve all doubts ...nice experience"
1378,"Greetings Mam,

It would be impossible to count all the ways that you've helped me in my
career. Thank you so much for all that you've done — I only hope I can
return the favor sometime in the future. Such a humble and down to earth
person inspite of working in such a big company.
Not only have you been a fantastic mentor to me, but you have taught me how
to mentor other people. Thank you for being such a great role model.

Thanks and Regards,
Jaskaran Singh"
1510,"Simply amazing, her welcoming voice, her desire to help, it was so
fantastic! Yes, yesterday I was so happy that my resume got reviewed by
Priya Mam, the session was as smooth as feather. I got to know my tiny
mistakes, definitely I will work accordingly as said by her! Happy to be
connected and looking forward for constant touch!
Thankyou once again Priya Mam, you're a gem!
Regards
Paavni Ahuja"
1510,"Thanks Priya for guiding me in how to improve my existing resume."
2631,"I got invite about this session from LinkedIn. It was great and interactive session by Abid sir. He cleared my doubts through practical scenarios."
1556,"mock interview is very good. he give me very good suggestions. he is very friendly."
1556,"really Nice experience."
1556,"About My experience it was very nice(but MY interview gone wrong)  the interviewer i.e. Anshul Bhaiya is very polite and helpful. He is trying to help people like me , Great work . Keep it up...
Thank You ."
1556,"it was a great experience"
1556,"It was a very good experience"
1556,"Good evening sir,
                              It was a great session and I will implement
all our suggestions further it was also a pleasure speaking with you
Thank you"
4541,"Fine...It's simple & clear..got useful tips"
1556,"It was a great experience while talking to Anshul Sir, He is very friendly in nature and also his guidances were really helpful to me and solve my doubts regarding to my technical and HR interveiw.
Thanks alot to Anshul Sir."
1556,"It was nice talking,  thanks for your advice"
1556,"It was a good experience got to know a lot from anshul bhai"
1556,"I fill  good  sir"
1556,"very nice conversation, affordable rates were the gem of this conversation."
1556,"it's great experience with anshul sir is awsome"
1556,"It's great experience with Anshul sir and awesome conversations with Anshul
sir i also recommend the topmate to my all friend to give the mock
interview's on the topmate site with Anshul sir"
1556,"It really helped me. I get to know about my weak points. I will definitely rectify myself and be better version of myself. Thank you Anshul Sir and team"
1556,"it was an amazing session with anshul. Gave first time  mock interview so gained some confidence.
Thank You."
1638,"An amazing Review done .Focussed even on very minute things.Really Appreciable.Thanks!!"
1556,"Very nice experience with Anshul great man..!"
212,"Mssssttt kaam kr rhe ho aap :)"
1556,"nice and amazing exp. as a real interview"
1556,"It was really good. and this is was my experience. And i would really like to thank sir for giving that suggestion ,definitely i will work on those points."
1556,"It was good and sir corporate with me very well"
1556,"this was the best interview that i have given so i look forward to regain some more skills and give an another  interview which gives me more confidence"
1510,"Priya is just awesome!!!"
1510,"I like this small session which teaches me a lot and as well as guides me
on how to make myself better.
I want to thank you for arranging and giving us such a nice opportunity."
7643,"It was really helpul"
1556,"great learned a lot!"
1556,"Thanks anshul sir you are really a great mentor and now after getting your
insights I had a great of myself and you really showed mirror like an elder
brother."
1556,"My mock interview was very good and he explained well about how to face an interview and sir was also given a guidance on project as well .thank you sir"
1263,"Shreya is thoroughly professional , considerate and pleasant to converse
with and get motivated and inspired.
She is empathetic , tries to be in others shoes 👟 and is mature beyond her
years of experience.
More power to her and may she change more lives and continue her good work."
2321,"The session was really good, cleared my doubts and gave me a clarity on approaching the challenges."
334,"Great experience talking with you.Thanks!!"
1398,"I think he is very knowledgeable
And good person 
he always give advice like personal friend 

I would recommend to u if u really want goood advice."
